"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"3864","lever_seated_horizontal_leg_press","Lever Seated Horizontal Leg Press","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3865","lever_seated_leg_extension","Lever Seated Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","1","74",""
"3866","lever_seated_leg_press","Lever Seated Leg Press","Quads","Quads","Thighs","Leverage machine","Thighs","Thighs","3","74","duplicate_group"
"3867","lever_seated_leg_press_lever_seated_leg_press_8p2","Lever Seated Leg Press","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","3","44","missing_video;duplicate_group"
"3868","lever_seated_leg_press_lever_seated_leg_press_7uk","Lever Seated Leg Press","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","3","74","duplicate_group"
"3869","lever_seated_one_leg_squat","Lever Seated One Leg Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3870","lever_seated_one_leg_wide_squat","Lever Seated One Leg Wide Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3871","lever_seated_squat","Lever Seated Squat","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3872","lever_seated_wide_squat","Lever Seated Wide Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3873","lever_squat","Lever Squat","Quads","Quads","Thighs","Leverage machine","Thighs","Thighs","1","74",""
"3874","low_bar_squat","Low Bar Squat","Quads","Quads","Quadriceps, Thighs","Barbell","Thighs","Thighs","1","74",""
"3875","low_bar_squat_with_rack","Low Bar Squat with Rack","Quads","Quads","Thighs","Barbell","Thighs","Thighs","1","74",""
"3876","lunge_lunge_s","Lunge","Quads","Quads","Quadriceps, Thighs","Barbell","Thighs","Thighs","1","74",""
"3877","lunge_push_up","Lunge Push-up","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","","1","44","missing_video"
"3878","lunge_with_jump","Lunge with Jump","Quads","Quads","Quadriceps, Thighs","Body weight","Thighs","Thighs","1","74",""
